word,start,end,duration,score,pause_before
Good,9.869,9.989,0.12,0.366,0.0
"morning,",10.029,10.549,0.52,0.582,0.04
welcome,10.569,10.95,0.381,0.764,0.02
to,10.97,11.05,0.08,0.652,0.02
IBM,11.25,11.61,0.36,0.78,0.2
IELTS,11.77,12.05,0.28,0.564,0.16
Academy.,12.15,12.631,0.481,0.979,0.1
This,13.111,13.271,0.16,0.997,0.48
is,13.351,13.431,0.08,0.784,0.08
the,13.471,13.591,0.12,0.976,0.04
speaking,13.651,14.072,0.421,0.93,0.06
section,14.132,14.532,0.4,0.882,0.06
of,14.712,14.792,0.08,0.835,0.18
the,14.832,14.912,0.08,0.806,0.04
IELTS,15.072,15.392,0.32,0.62,0.16
exam.,15.452,15.873,0.421,0.75,0.06
The,16.053,16.133,0.08,0.819,0.18
interview,16.153,16.693,0.54,0.92,0.02
will,16.733,16.953,0.22,0.768,0.04
take,16.993,17.414,0.421,0.829,0.04
around,17.434,18.034,0.6,0.865,0.02
15,18.054,18.554,0.5,0.649,0.02
minutes.,18.614,18.935,0.321,0.855,0.06
I,19.135,19.175,0.04,0.977,0.2
will,19.195,19.375,0.18,0.784,0.02
ask,19.475,19.675,0.2,0.956,0.1
you,19.715,19.835,0.12,0.899,0.04
some,19.875,20.015,0.14,0.809,0.04
questions,20.075,20.556,0.481,0.896,0.06
in,20.616,20.716,0.1,0.751,0.06
three,20.996,21.216,0.22,0.818,0.28
"parts,",21.276,21.616,0.34,0.836,0.06
okay?,21.977,22.317,0.34,0.805,0.361
Examiner,23.237,23.778,0.541,0.869,0.92
is,23.878,23.958,0.08,0.918,0.1
Sarah,24.018,24.318,0.3,0.644,0.06
Parker,24.338,24.818,0.48,0.875,0.02
and,25.038,25.179,0.141,0.424,0.22
examiner,25.239,25.719,0.48,0.769,0.06
number,25.759,26.039,0.28,0.885,0.04
is,26.179,26.279,0.1,0.782,0.14
7-9-2-0-2-1.,26.299,26.619,0.32,0.895,0.02
Candidate,26.639,27.2,0.561,0.543,0.02
is,27.22,27.26,0.04,0.0,0.02
David,27.7,28.04,0.34,0.542,0.44
Smith,28.12,28.32,0.2,0.258,0.08
and,28.541,28.701,0.16,0.284,0.221
candidate,28.841,29.381,0.54,0.935,0.14
number,29.401,29.541,0.14,0.082,0.02
is,29.561,29.681,0.12,0.864,0.02
2-3-5-8-9.,29.721,30.002,0.281,0.694,0.04
May,30.022,30.082,0.06,0.002,0.02
I,30.102,30.122,0.02,0.0,0.02
see,30.162,30.382,0.22,0.786,0.04
your,30.402,30.742,0.34,0.379,0.02
ID,30.762,30.802,0.04,0.0,0.02
card?,30.842,31.062,0.22,0.908,0.04
Here,31.082,31.262,0.18,0.396,0.02
you,31.322,31.462,0.14,0.45,0.06
are.,31.522,31.623,0.101,0.588,0.06
Okay?,40.217,40.477,0.26,0.7,8.594
Thank,41.518,41.718,0.2,0.248,1.041
you.,41.738,42.018,0.28,0.774,0.02
What's,44.1,44.36,0.26,0.82,2.082
your,44.38,44.58,0.2,0.854,0.02
full,44.66,44.9,0.24,0.73,0.08
name?,44.94,45.201,0.261,0.659,0.04
My,47.102,47.242,0.14,0.998,1.901
name,47.302,47.482,0.18,0.934,0.06
is,47.562,49.123,1.561,0.658,0.08
David,49.244,49.724,0.48,0.839,0.121
and,49.944,50.044,0.1,0.926,0.22
my,50.204,50.344,0.14,0.836,0.16
last,50.424,50.685,0.261,0.898,0.08
name,50.705,50.905,0.2,0.825,0.02
is,50.985,51.285,0.3,0.588,0.08
Smith.,51.845,52.246,0.401,0.842,0.56
I'm,53.086,53.206,0.12,0.412,0.84
from,53.286,53.607,0.321,0.896,0.08
Sweden,53.987,55.068,1.081,0.739,0.38
and,55.088,57.61,2.522,0.581,0.02
I'm,58.49,58.67,0.18,0.809,0.88
27,58.79,59.031,0.241,0.718,0.12
years,59.131,60.332,1.201,0.748,0.1
old.,60.412,60.532,0.12,0.342,0.08
Okay.,60.912,61.412,0.5,0.779,0.38
Where,62.333,62.533,0.2,0.886,0.921
are,62.593,62.693,0.1,0.734,0.06
you,62.733,62.833,0.1,0.991,0.04
from?,62.953,63.354,0.401,0.917,0.12
I'm,64.354,64.475,0.121,0.233,1.0
from,64.515,65.175,0.66,0.828,0.04
Sweden.,65.535,65.916,0.381,0.645,0.36
Do,67.457,67.517,0.06,0.76,1.541
you,67.557,67.717,0.16,0.658,0.04
work,67.777,68.117,0.34,0.934,0.06
or,68.337,68.457,0.12,0.74,0.22
study?,68.618,68.998,0.38,0.925,0.161
I,70.598,70.698,0.1,0.796,1.6
study,70.778,71.318,0.54,0.908,0.08
for,71.819,75.501,3.682,0.934,0.501
English,75.661,76.002,0.341,0.625,0.16
language,76.042,76.502,0.46,0.869,0.04
for,76.862,77.102,0.24,0.701,0.36
IS,77.122,77.162,0.04,0.0,0.02
exam,77.783,78.243,0.46,0.768,0.621
and,78.924,79.444,0.52,0.781,0.681
I,79.684,79.784,0.1,0.799,0.24
like,79.804,80.065,0.261,0.916,0.02
to,80.105,80.365,0.26,0.99,0.04
immigrate,81.005,82.626,1.621,0.86,0.64
to,82.927,83.207,0.28,0.877,0.301
another,83.287,83.667,0.38,0.866,0.08
country.,83.747,87.29,3.543,0.956,0.08
Okay.,88.431,89.031,0.6,0.833,1.141
Do,90.432,90.532,0.1,0.965,1.401
you,90.552,90.672,0.12,0.828,0.02
have,90.732,90.932,0.2,0.889,0.06
any,91.053,91.233,0.18,0.792,0.121
job?,91.293,91.633,0.34,0.953,0.06
I,93.258,93.338,0.08,0.74,1.625
used,93.398,93.558,0.16,0.72,0.06
to,93.578,93.718,0.14,0.737,0.02
work,93.858,94.259,0.401,0.978,0.14
in,94.939,95.039,0.1,0.752,0.68
a,95.219,95.339,0.12,0.707,0.18
factory,95.459,96.059,0.6,0.911,0.12
that,97.12,97.34,0.22,0.917,1.061
is,97.44,97.56,0.12,0.975,0.1
homemade,97.58,99.161,1.581,0.542,0.02
"furniture,",99.181,100.101,0.92,0.583,0.02
but,100.121,100.241,0.12,0.248,0.02
now,100.621,100.921,0.3,0.771,0.38
I'm,101.061,101.221,0.16,0.606,0.14
used,101.341,101.521,0.18,0.418,0.12
to,101.562,101.762,0.2,0.71,0.041
study,101.782,103.242,1.46,0.473,0.02
foreign,103.522,103.722,0.2,0.222,0.28
language.,103.742,104.243,0.501,0.578,0.02
Did,120.245,120.505,0.26,0.844,16.002
you,120.546,120.686,0.14,0.826,0.041
treat,120.786,121.127,0.341,0.657,0.1
your,121.227,121.648,0.421,0.769,0.1
co-worker,122.049,122.911,0.862,0.707,0.401
as,122.931,122.972,0.041,0.004,0.02
well?,123.072,123.393,0.321,0.923,0.1
"Yes,",125.397,125.697,0.3,0.93,2.004
in,127.478,127.618,0.14,0.69,1.781
the,128.559,128.679,0.12,0.87,0.941
"quarter,",128.779,129.499,0.72,0.849,0.1
where,130.699,131.6,0.901,0.765,1.2
I,131.62,131.64,0.02,0.001,0.02
used,131.66,133.32,1.66,0.766,0.02
to,134.241,134.561,0.32,0.367,0.921
work,135.401,136.802,1.401,0.865,0.84
in,137.002,137.082,0.08,0.934,0.2
that,137.122,137.362,0.24,0.881,0.04
"place,",137.482,138.642,1.16,0.918,0.12
the,138.722,139.062,0.34,0.853,0.08
quarter,139.383,141.863,2.48,0.814,0.321
is,142.184,142.284,0.1,0.789,0.321
good,142.364,142.664,0.3,0.855,0.08
and,143.144,143.764,0.62,0.793,0.48
behave,146.465,147.366,0.901,0.944,2.701
very,147.606,147.806,0.2,0.564,0.24
well.,147.846,148.166,0.32,0.773,0.04
What,150.207,150.447,0.24,0.773,2.041
responsibilities,150.567,151.967,1.4,0.889,0.12
did,152.027,152.207,0.18,0.888,0.06
you,152.227,152.367,0.14,0.738,0.02
have,152.487,152.828,0.341,0.986,0.12
at,153.068,153.208,0.14,0.684,0.24
work?,153.348,153.748,0.4,0.87,0.14
I,158.598,158.718,0.12,0.897,4.85
have,158.818,159.238,0.42,0.939,0.1
many,159.298,159.638,0.34,0.873,0.06
responsibilities,159.878,161.018,1.14,0.788,0.24
at,161.159,161.259,0.1,0.99,0.141
work,161.339,161.919,0.58,0.647,0.08
and,162.519,162.919,0.4,0.879,0.6
you,163.879,164.019,0.14,0.63,0.96
can,164.039,164.559,0.52,0.853,0.02
do,164.739,165.86,1.121,0.882,0.18
everything,166.68,167.3,0.62,0.882,0.82
very,167.88,168.12,0.24,0.894,0.58
well,168.16,168.48,0.32,0.912,0.04
and,168.94,169.3,0.36,0.876,0.46
you,171.441,171.741,0.3,0.809,2.141
can't,171.821,172.521,0.7,0.869,0.08
break,173.962,174.342,0.38,0.801,1.441
anything,174.482,175.222,0.74,0.905,0.14
or,175.802,176.382,0.58,0.922,0.58
like,177.582,177.822,0.24,0.574,1.2
"this,",177.842,178.083,0.241,0.658,0.02
just,178.303,178.523,0.22,0.925,0.22
like,178.563,178.643,0.08,0.019,0.04
this.,178.763,179.843,1.08,0.608,0.12
Are,180.463,180.563,0.1,0.423,0.62
there,180.583,180.823,0.24,0.541,0.02
good,180.963,181.263,0.3,0.618,0.14
job,181.403,181.743,0.34,0.922,0.14
opportunities,181.923,183.104,1.181,0.86,0.18
in,183.264,183.344,0.08,0.944,0.16
your,183.404,183.624,0.22,0.822,0.06
country?,183.704,184.224,0.52,0.948,0.08
"Yes,",186.232,186.552,0.32,0.914,2.008
for,187.093,187.273,0.18,0.752,0.541
all,187.433,187.593,0.16,0.883,0.16
men,187.653,187.933,0.28,0.868,0.06
it's,187.953,188.974,1.021,0.552,0.02
clear,189.134,189.595,0.461,0.855,0.16
and,190.095,190.195,0.1,0.983,0.5
although,191.616,191.996,0.38,0.677,1.421
the,193.717,194.338,0.621,0.818,1.721
good,194.618,194.818,0.2,0.917,0.28
job,194.858,195.138,0.28,0.858,0.04
have,195.178,195.559,0.381,0.818,0.04
a,196.339,196.459,0.12,0.864,0.78
good,196.739,196.92,0.181,0.966,0.28
salary,196.98,197.44,0.46,0.926,0.06
and,197.54,197.64,0.1,0.751,0.1
income,197.66,197.84,0.18,0.194,0.02
for,197.86,197.92,0.06,0.0,0.02
co-worker,197.94,198.22,0.28,0.414,0.02
and,198.26,198.361,0.101,0.235,0.04
for,198.441,198.681,0.24,0.778,0.08
doing,198.701,199.421,0.72,0.391,0.02
very,199.661,199.801,0.14,0.184,0.24
well,199.902,200.002,0.1,0.123,0.101
for,200.022,200.082,0.06,0.0,0.02
co-worker,200.102,200.562,0.46,0.588,0.02
and,200.722,200.842,0.12,0.885,0.16
the,200.902,201.002,0.1,0.592,0.06
league.,201.022,201.182,0.16,0.283,0.02
"Okay,",210.768,211.248,0.48,0.829,9.586
very,211.308,211.529,0.221,0.873,0.06
good.,211.569,211.809,0.24,0.91,0.04
"So,",212.249,212.449,0.2,0.994,0.44
I'll,213.39,213.61,0.22,0.844,0.941
give,213.67,213.91,0.24,0.818,0.06
you,213.95,214.09,0.14,0.779,0.04
a,214.15,214.17,0.02,0.997,0.06
cue,214.27,214.49,0.22,0.893,0.1
card,214.531,214.871,0.34,0.765,0.041
and,215.111,215.211,0.1,0.813,0.24
you,215.271,215.431,0.16,0.821,0.06
have,215.471,215.651,0.18,0.805,0.04
one,215.851,215.971,0.12,0.613,0.2
minute,216.031,216.372,0.341,0.774,0.06
to,216.792,217.032,0.24,0.854,0.42
take,217.412,217.633,0.221,0.749,0.38
a,217.653,217.673,0.02,0.005,0.02
note,217.773,218.093,0.32,0.82,0.1
and,218.253,218.373,0.12,0.843,0.16
think,218.673,218.873,0.2,0.866,0.3
