word,start,end,duration,score,pause_before
This,0.511,0.711,0.2,0.853,0.0
IELTS,0.971,1.191,0.22,0.491,0.26
speaking,1.231,1.591,0.36,0.873,0.04
test,1.631,1.891,0.26,0.806,0.04
will,1.951,2.131,0.18,0.758,0.06
be,2.171,2.272,0.101,0.832,0.04
recorded,2.312,2.792,0.48,0.963,0.04
for,2.832,2.972,0.14,0.89,0.04
assessment,3.012,3.492,0.48,0.906,0.04
purpose.,3.532,3.992,0.46,0.796,0.04
The,4.332,4.432,0.1,0.993,0.34
speaking,4.472,4.832,0.36,0.919,0.04
test,4.852,5.112,0.26,0.908,0.02
will,5.132,5.312,0.18,0.972,0.02
roughly,5.372,5.732,0.36,0.858,0.06
last,5.772,6.032,0.26,0.935,0.04
between,6.092,6.352,0.26,0.964,0.06
11,6.372,6.853,0.481,0.768,0.02
to,6.893,6.993,0.1,0.99,0.04
14,7.053,7.373,0.32,0.714,0.06
minutes.,7.413,7.693,0.28,0.872,0.04
Before,8.033,8.313,0.28,0.92,0.34
we,8.373,8.473,0.1,0.999,0.06
start,8.513,8.793,0.28,0.9,0.04
part,8.853,9.073,0.22,0.748,0.06
3,9.173,9.433,0.26,0.39,0.1
of,9.473,9.553,0.08,0.833,0.04
the,9.593,9.673,0.08,0.851,0.04
speaking,9.713,10.053,0.34,0.903,0.04
"test,",10.093,10.333,0.24,0.91,0.04
can,10.613,10.753,0.14,0.994,0.28
I,10.813,10.873,0.06,0.67,0.06
see,10.893,11.013,0.12,0.914,0.02
your,11.033,11.154,0.121,0.704,0.02
identification?,11.214,12.034,0.82,0.876,0.06
"Yeah,",12.334,12.534,0.2,0.529,0.3
here,12.754,12.974,0.22,0.654,0.22
you,13.014,13.094,0.08,0.48,0.04
go.,13.114,13.174,0.06,0.329,0.02
"Okay,",16.395,16.595,0.2,0.482,3.221
thank,16.615,16.755,0.14,0.984,0.02
you,16.795,16.895,0.1,0.922,0.04
so,16.915,17.055,0.14,0.982,0.02
much.,17.095,17.315,0.22,0.833,0.04
Let's,17.995,18.275,0.28,0.772,0.68
now,18.375,18.615,0.24,0.905,0.1
start,18.715,19.015,0.3,0.93,0.1
part,19.115,19.575,0.46,0.708,0.1
3,19.655,19.715,0.06,0.667,0.08
of,19.775,19.835,0.06,0.978,0.06
the,19.875,19.975,0.1,0.701,0.04
speaking,20.015,20.356,0.341,0.913,0.04
test,20.396,20.656,0.26,0.917,0.04
where,20.736,20.916,0.18,0.952,0.08
we,20.956,21.076,0.12,0.952,0.04
are,21.116,21.196,0.08,0.941,0.04
going,21.236,21.416,0.18,0.869,0.04
to,21.456,21.516,0.06,1.0,0.04
discuss,21.556,21.916,0.36,0.905,0.04
about,21.956,22.216,0.26,0.881,0.04
photographs.,22.296,22.896,0.6,0.822,0.08
Tell,23.476,23.676,0.2,0.986,0.58
"me,",23.736,23.876,0.14,0.96,0.06
why,24.236,24.416,0.18,0.826,0.36
do,24.456,24.617,0.161,0.865,0.04
people,24.657,24.997,0.34,0.824,0.04
like,25.097,25.297,0.2,0.848,0.1
taking,25.337,25.617,0.28,0.914,0.04
photographs?,25.677,26.237,0.56,0.979,0.06
From,27.102,27.242,0.14,0.905,0.865
my,27.282,27.402,0.12,0.98,0.04
"perspective,",27.442,28.023,0.581,0.799,0.04
people,28.063,28.363,0.3,0.87,0.04
like,28.403,28.583,0.18,0.879,0.04
taking,28.623,28.883,0.26,0.863,0.04
photographs,28.923,29.424,0.501,0.423,0.04
because,29.524,29.864,0.34,0.774,0.1
it,29.944,30.024,0.08,0.869,0.08
helps,30.044,30.265,0.221,0.54,0.02
to,30.285,30.465,0.18,0.481,0.02
preserve,30.485,30.885,0.4,0.777,0.02
important,30.945,31.385,0.44,0.91,0.06
memories,31.426,31.846,0.42,0.933,0.041
that,31.886,32.046,0.16,0.79,0.04
they,32.106,32.226,0.12,0.36,0.06
want,32.246,32.466,0.22,0.682,0.02
to,32.486,32.586,0.1,0.806,0.02
keep,32.626,32.827,0.201,0.86,0.04
looking,32.867,33.047,0.18,0.57,0.04
at,33.147,33.247,0.1,0.778,0.1
in,33.367,33.447,0.08,0.76,0.12
the,33.467,33.527,0.06,0.88,0.02
future.,33.587,33.988,0.401,0.82,0.06
In,34.548,34.608,0.06,0.99,0.56
"addition,",34.688,35.109,0.421,0.815,0.08
photographs,35.329,35.829,0.5,0.93,0.22
also,35.949,36.209,0.26,0.965,0.12
help,36.249,36.43,0.181,0.794,0.04
to,36.45,36.61,0.16,0.494,0.02
preserve,36.63,37.01,0.38,0.919,0.02
memories,37.05,37.51,0.46,0.77,0.04
about,37.671,37.971,0.3,0.889,0.161
our,38.131,38.291,0.16,0.762,0.16
special,38.671,39.172,0.501,0.895,0.38
or,39.232,39.292,0.06,0.912,0.06
important,39.372,39.832,0.46,0.891,0.08
moments,39.872,40.233,0.361,0.885,0.04
such,40.333,40.533,0.2,0.992,0.1
